"","Nom","Sexe","Effectif","Pourcentage_Masc","Pourcentage"
"10238","tal","M","     3","57.142857143","57.142857143"
"10239","tapa","M","     3","50.000000000","50.000000000"
"10240","taylor","M","    17","75.362318841","75.362318841"
"10241","terry","M","    21","98.330683625","98.330683625"
"10242","teva","M","     4","95.744680851","95.744680851"
"10243","thanh","M","    13","69.047619048","69.047619048"
"10244","theodore","M","    47","97.380156076","97.380156076"
"10245","theodule","M","     4","93.442622951","93.442622951"
"10246","theophile","M","    26","99.189020586","99.189020586"
"10247","therese","F"," 38221"," 0.159343817"," 0.159343817"
"10248","thierry","M","     4","99.998591653","99.998591653"
"10249","thimothee","M","    20","70.149253731","70.149253731"
"10250","thomas","M","   102","99.957026938","99.957026938"
"10251","tiburce","M","    34","83.414634146","83.414634146"
"10252","tifenn","F","   844"," 1.170960187"," 1.170960187"
"10253","timoleon","M","    18","81.052631579","81.052631579"
"10254","timothee","M","    47","99.475738985","99.475738985"
"10255","tiphaine","F"," 13284"," 0.067704807"," 0.067704807"
"10256","toni","M","    14","96.976241901","96.976241901"
"10257","tracy","F","  2142"," 0.325732899"," 0.325732899"
"10258","typhaine","F","  2318"," 1.612903226"," 1.612903226"
"10259","urbain","M","    32","90.092879257","90.092879257"
"10260","ursule","F","   155","21.319796954","21.319796954"
"10261","valere","M","    21","96.309314587","96.309314587"
"10262","valerie","F","233779"," 0.020100417"," 0.020100417"
"10263","valery","M","   185","93.662213087","93.662213087"
"10264","van","M","     3","94.000000000","94.000000000"
"10265","vanessa","F"," 74193"," 0.008086362"," 0.008086362"
"10266","venance","F","     4","42.857142857","42.857142857"
"10267","veronique","F","221536"," 0.012637432"," 0.012637432"
"10268","vicky","F","   370"," 1.595744681"," 1.595744681"
"10269","victoire","F","  5364"," 0.130329548"," 0.130329548"
"10270","victor","M","    19","99.960386957","99.960386957"
"10271","vincent","M","    80","99.961991096","99.961991096"
"10272","vincente","F","   219"," 4.782608696"," 4.782608696"
"10273","virginie","F","154723"," 0.015509186"," 0.015509186"
"10274","wenceslas","M","    36","68.421052632","68.421052632"
"10275","wendy","F","  7389"," 2.403909655"," 2.403909655"
"10276","wilfrid","M","    29","99.389859036","99.389859036"
"10277","windy","F","    45","28.571428571","28.571428571"
"10278","wissam","M","    13","95.470383275","95.470383275"
"10279","wissem","M","    28","91.591591592","91.591591592"
"10280","x","F","     8","46.666666667","46.666666667"
"10281","yacine","M","     9","99.875947622","99.875947622"
